BankID	BankName	BankStreet	BankCity	BankState	BankZip
1	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
2	Plumas Bank	336 W Main St	QUINCY	CA	95971
3	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
4	Union Savings Bank	226 Main St	DANBURY	CT	06810
5	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
6	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
7	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
8	Lake Region Bank	51 Main St	NEW LONDON	MN	56273
9	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
10	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
11	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
12	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
13	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
14	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
15	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
16	Gain FCU	1800 W Magnolia Blvd	BURBANK	CA	91506
17	First National Community Bank	109 E 2nd St	NEW RICHMOND	WI	54017
18	Renasant Bank	209 Troy St	TUPELO	MS	38804
19	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
20	The Citizens Bank	655 Saint Louis St	BATESVILLE	AR	72501
21	Austin County State Bank	436 S Front St	BELLVILLE	TX	77418
22	"North Shore Bank, A Cooperative Bank"	248 Andover St	PEABODY	MA	01960
23	Lower East Side People's FCU	37 Ave B	NEW YORK CITY	NY	10009
24	Seacoast Commerce Bank	"11939 Rancho Bernardo Rd, Ste"	SAN DIEGO	CA	92128
25	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
26	First Colorado National Bank	133 Grand Ave	PAONIA	CO	81428
27	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
28	"Associated Bank, National Association"	200 N Adams St	GREEN BAY	WI	54301
29	First Colorado National Bank	133 Grand Ave	PAONIA	CO	81428
30	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
31	Sullivan Bank	318 W Main St	SULLIVAN	MO	63080
32	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
33	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
34	"Citizens Bank, National Association"	1 Citizens Plaza	PROVIDENCE	RI	02903
35	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
36	BancorpSouth Bank	201 S Spring St	TUPELO	MS	38804
37	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
38	Peoples Bank	138 Putnam St	MARIETTA	OH	45750
39	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
40	Passumpsic Savings Bank	497 Railroad St	SAINT JOHNSBURY	VT	05819
41	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
42	First Midwest Bank of the Ozarks	1025 S Main	PIEDMONT	MO	63957
43	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
44	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
45	RiverWood Bank	14633 Edgewood Dr	BAXTER	MN	56425
46	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
47	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
48	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
49	Simmons Bank	501 Main St	PINE BLUFF	AR	71601
50	American Bank of Commerce	530 E Hwy 62/82	WOLFFORTH	TX	79382
51	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
52	TCF National Bank	2508 S Louise Ave	SIOUX FALLS	SD	57106
53	Pacific Western Bank	"9701 Wilshire Blvd, Ste 700"	BEVERLY HILLS	CA	90212
54	Choice Financial Group	4501 23rd Ave South	FARGO	ND	58104
55	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
56	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
57	bankcda	912 Northwest Blvd	COEUR D'ALENE	ID	83814
58	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
59	Jefferson Bank of Missouri	700 Southwest Blvd	JEFFERSON CITY	MO	65109
