LoanProgID,ProjectCounty,ProjectState,ProgramType,ProgramDesc,JobsSupported,MethodID,SBABranchID
LP1,DENVER,CO,7A,FA$TRK (Small Loan Express),35,SBA EXPRES,1
LP2,SACRAMENTO,CA,7A,Guaranty,6,PLP,2
LP3,YOLO,CA,7A,Guaranty,27,PLP,3
LP4,FAIRFIELD,CT,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,4
LP5,ELKHART,IN,7A,Community Express,2,COMM EXPRS,5
LP6,BENTON,TN,7A,Community Express,3,COMM EXPRS,6
LP7,LEXINGTON,SC,7A,Patriot Express,4,PATRIOT EX,7
LP8,KANDIYOHI,MN,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,8
LP9,PALM BEACH,FL,7A,Community Express,1,COMM EXPRS,9
LP10,SAN FRANCISCO,CA,7A,Community Express,4,COMM EXPRS,10
LP11,COOK,IL,7A,Community Express,3,COMM EXPRS,11
LP12,SNOHOMISH,WA,7A,Patriot Express,2,PATRIOT EX,12
LP13,MARTIN,FL,7A,Guaranty,55,OTH 7A,13
LP14,LOS ANGELES,CA,7A,Community Express,2,COMM EXPRS,14
LP15,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,15
LP16,LOS ANGELES,CA,7A,Guaranty,9,OTH 7A,14
LP17,PIERCE,WI,7A,Guaranty,11,OTH 7A,16
LP18,GWINNETT,GA,7A,Guaranty,25,OTH 7A,17
LP19,BAYAMON,PR,7A,Guaranty,3,OTH 7A,18
LP20,INDEPENDENCE,AR,7A,Guaranty,4,OTH 7A,19
LP21,AUSTIN,TX,7A,FA$TRK (Small Loan Express),40,SBA EXPRES,20
LP22,ESSEX,MA,7A,Guaranty,1,OTH 7A,21
LP23,NEW YORK,NY,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,22
LP24,SAN DIEGO,CA,7A,Guaranty,7,PLP,23
LP25,PRINCE WILLIAM,VA,7A,Guaranty,4,PLP,24
LP26,CHRISTIAN,IL,7A,Guaranty,0,PLP,25
LP27,LOS ANGELES,CA,7A,Community Express,8,COMM EXPRS,14
LP28,MANITOWOC,WI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,26
LP29,SHELBY,IL,7A,Guaranty,0,PLP,27
LP30,SAN BERNARDINO,CA,7A,Community Express,11,COMM EXPRS,28
LP31,FRANKLIN,MO,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,29
LP32,CAGUAS,PR,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,18
LP33,SUFFOLK,NY,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,30
LP34,MONROE,NY,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,31
LP35,MARICOPA,AZ,7A,Guaranty,6,PLP,32
LP36,BURNET,TX,7A,Guaranty,4,PLP,33
LP37,DALLAS,TX,7A,Patriot Express,2,PATRIOT EX,34
LP38,SUMMIT,OH,7A,Guaranty,12,PLP,35
LP39,WEBER,UT,7A,FA$TRK (Small Loan Express),65,SBA EXPRES,36
LP40,CALEDONIA,VT,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,37
LP41,HENNEPIN,MN,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,38
LP42,CARTER,MO,7A,Guaranty,21,OTH 7A,39
LP43,MONTGOMERY,AL,7A,FA$TRK (Small Loan Express),28,SBA EXPRES,40
LP44,HENNEPIN,MN,7A,Guaranty,9,PLP,38
LP45,WRIGHT,MN,7A,Community Express,1,COMM EXPRS,41
LP46,SAN DIEGO,CA,7A,Community Express,2,COMM EXPRS,42
LP47,BERKS,PA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,43
LP48,HARRISON,WV,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,44
LP49,JASPER,MO,7A,Guaranty,43,PLP,45
LP50,COLLIN,TX,7A,Guaranty,18,PLP,46
LP51,HAMILTON,OH,7A,FA$TRK (Small Loan Express),20,SBA EXPRES,47
LP52,SAINT CLAIR,MI,7A,Guaranty,5,PLP,48
LP53,LEE,FL,7A,Guaranty,25,PLP,49
LP54,RAMSEY,MN,7A,Guaranty,25,PLP,50
LP55,CHESTER,PA,7A,Guaranty,42,PLP,51
LP56,STARK,OH,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,52
LP57,KOOTENAI,ID,7A,Guaranty,3,PLP,53
LP58,STARK,OH,7A,Guaranty,7,PLP,180
LP59,COLE,MO,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,29
LP60,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),34,SBA EXPRES,54
LP61,PENOBSCOT,ME,7A,Guaranty,3,PLP,55
LP62,DENVER,CO,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,56
LP63,WINNEBAGO,WI,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,26
LP64,SAN LUIS OBISPO,CA,7A,Guaranty,65,OTH 7A,57
LP65,FULTON,GA,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,58
LP66,WAYNE,MI,7A,Guaranty,15,PLP,59
LP67,ANNE ARUNDEL,MD,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,60
LP68,GREENVILLE,SC,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,61
LP69,KANE,IL,7A,Guaranty,0,PLP,62
LP70,HARRIS,TX,7A,Guaranty,6,CLP,63
LP71,BOULDER,CO,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,56
LP72,SCOTT,KY,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,64
LP73,EARLY,GA,7A,Guaranty,20,PLP,65
LP74,SAINT LOUIS,MN,7A,Guaranty,3,PLP,66
LP75,WAKE,NC,7A,Guaranty,12,OTH 7A,67
LP76,SANTA CLARA,CA,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,68
LP77,FRESNO,CA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,69
LP78,HARRIS,TX,7A,Community Express,5,COMM EXPRS,70
LP79,YORK,PA,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,71
LP80,MORGAN,AL,7A,Guaranty,45,OTH 7A,72
LP81,RIVERSIDE,CA,7A,Guaranty,8,PLP,73
LP82,BELL,TX,7A,Guaranty,15,OTH 7A,74
LP83,BERGEN,NJ,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,75
LP84,PENOBSCOT,ME,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,55
LP85,LOS ANGELES,CA,7A,Community Express,4,COMM EXPRS,14
LP86,MIAMI-DADE,FL,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,76
LP87,ORANGE,CA,7A,Guaranty,9,OTH 7A,77
LP88,CUYAHOGA,OH,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,35
LP89,SAINT CLAIR,MI,7A,Guaranty,41,PLP,48
LP90,NEW YORK,NY,7A,Guaranty,13,PLP,78
LP91,SENECA,OH,7A,Guaranty,8,OTH 7A,79
LP92,MONROE,NY,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,31
LP93,MARICOPA,AZ,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,80
LP94,DALLAS,TX,7A,Guaranty,7,PLP,34
LP95,MECKLENBURG,NC,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,81
LP96,ADA,ID,7A,Guaranty,55,OTH 7A,82
LP97,KITSAP,WA,7A,Patriot Express,5,PATRIOT EX,83
LP98,YORK,ME,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,84
LP99,BLUE EARTH,MN,7A,Guaranty,3,OTH 7A,85
LP100,LOS ANGELES,CA,7A,Guaranty,24,PLP,86
LP101,TULSA,OK,7A,Community Express,1,COMM EXPRS,87
LP102,SANTA ROSA,FL,7A,Guaranty,7,OTH 7A,88
LP103,ESSEX,MA,7A,FA$TRK (Small Loan Express),23,SBA EXPRES,21
LP104,WALWORTH,WI,7A,Guaranty,15,OTH 7A,89
LP105,BLUE EARTH,MN,7A,Guaranty,3,OTH 7A,85
LP106,PLYMOUTH,MA,7A,FA$TRK (Small Loan Express),30,SBA EXPRES,90
LP107,WAKE,NC,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,91
LP108,ITASCA,MN,7A,Guaranty,2,PLP,66
LP109,YAVAPAI,AZ,7A,FA$TRK (Small Loan Express),15,SBA EXPRES,92
LP110,ORANGE,FL,7A,Guaranty,10,PLP,93
LP111,JONES,TX,7A,FA$TRK (Small Loan Express),17,SBA EXPRES,94
LP112,EDDY,NM,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,95
LP113,SAN DIEGO,CA,7A,Guaranty,8,PLP,23
LP114,CARROLL,GA,7A,Community Express,1,COMM EXPRS,96
LP115,SEVIER,UT,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,54
LP116,GOGEBIC,MI,7A,Guaranty,4,OTH 7A,97
LP117,JEFFERSON,IA,7A,Patriot Express,1,PATRIOT EX,98
LP118,HINDS,MS,7A,Gulf Opportunity,4,GO LOANS,99
LP119,MONTGOMERY,PA,7A,Guaranty,25,PLP,43
LP120,BOULDER,CO,7A,Guaranty,1,PLP,56
LP121,HENNEPIN,MN,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,100
LP122,PORTAGE,OH,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,35
LP123,DEKALB,GA,7A,Guaranty,1,PLP,58
LP124,MACOMB,MI,7A,FA$TRK (Small Loan Express),48,SBA EXPRES,101
LP125,NIAGARA,NY,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,102
