LoanDetailID,NAICSCode,NAICSDescription,LoanStatus,RevolverStatus,AsOfDate,ApprovalDate,ApprovalFiscalYear
1,531210,Offices of Real Estate Agents and Brokers,PIF,1,30/9/2020,10/1/2009,2010
2,722410,Drinking Places (Alcoholic Beverages),PIF,0,30/9/2020,10/1/2009,2010
3,811192,Car Washes,CHGOFF,0,30/9/2020,10/1/2009,2010
4,323110,Commercial Lithographic Printing,EXEMPT,1,30/9/2020,10/1/2009,2010
5,811121,Automotive Body  Paint  and Interior Repair and Maintenance,PIF,0,30/9/2020,10/1/2009,2010
6,453220,Gift  Novelty  and Souvenir Stores,PIF,0,30/9/2020,10/1/2009,2010
7,541890,Other Services Related to Advertising,PIF,0,30/9/2020,10/1/2009,2010
8,236220,Commercial and Institutional Building Construction,PIF,1,30/9/2020,10/1/2009,2010
9,446199,All Other Health and Personal Care Stores,PIF,0,30/9/2020,10/1/2009,2010
10,722213,Snack and Nonalcoholic Beverage Bars,PIF,0,30/9/2020,10/1/2009,2010
11,441120,Used Car Dealers,CHGOFF,0,30/9/2020,10/1/2009,2010
12,541211,Offices of Certified Public Accountants,PIF,0,30/9/2020,10/1/2009,2010
13,811191,Automotive Oil Change and Lubrication Shops,PIF,0,30/9/2020,10/1/2009,2010
14,323119,Other Commercial Printing,CHGOFF,0,30/9/2020,10/1/2009,2010
15,541110,Offices of Lawyers,PIF,1,30/9/2020,10/1/2009,2010
16,541213,Tax Preparation Services,PIF,1,30/9/2020,10/1/2009,2010
17,332812,Metal Coating  Engraving (except Jewelry and Silverware)  and Allied S,PIF,0,30/9/2020,10/1/2009,2010
18,621111,Offices of Physicians (except Mental Health Specialists),EXEMPT,0,30/9/2020,10/1/2009,2010
19,441310,Automotive Parts and Accessories Stores,PIF,0,30/9/2020,10/1/2009,2010
20,541211,Offices of Certified Public Accountants,PIF,0,30/9/2020,10/1/2009,2010
21,315999,Other Apparel Accessories and Other Apparel Manufacturing,CANCLD,0,30/9/2020,10/1/2009,2010
22,812113,Nail Salons,PIF,0,30/9/2020,10/1/2009,2010
23,812112,Beauty Salons,PIF,0,30/9/2020,10/1/2009,2010
24,722410,Drinking Places (Alcoholic Beverages),PIF,0,30/9/2020,10/1/2009,2010
25,812310,Coin-Operated Laundries and Drycleaners,PIF,0,30/9/2020,10/1/2009,2010
26,447110,Gasoline Stations with Convenience Stores,CANCLD,0,30/9/2020,10/1/2009,2010
27,621111,Offices of Physicians (except Mental Health Specialists),CHGOFF,0,30/9/2020,10/1/2009,2010
28,236118,Residential Remodelers,PIF,0,30/9/2020,10/1/2009,2010
29,447110,Gasoline Stations with Convenience Stores,CANCLD,0,30/9/2020,10/1/2009,2010
30,811121,Automotive Body  Paint  and Interior Repair and Maintenance,CHGOFF,1,30/9/2020,10/1/2009,2010
31,492210,Local Messengers and Local Delivery,PIF,0,30/9/2020,10/1/2009,2010
32,623990,Other Residential Care Facilities,CANCLD,0,30/9/2020,10/1/2009,2010
33,621111,Offices of Physicians (except Mental Health Specialists),PIF,0,30/9/2020,10/1/2009,2010
34,611420,Computer Training,PIF,1,30/9/2020,10/1/2009,2010
35,532412,Construction  Mining  and Forestry Machinery and Equipment Rental and,EXEMPT,0,30/9/2020,10/1/2009,2010
36,312113,Ice Manufacturing,PIF,0,30/9/2020,10/1/2009,2010
37,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,PIF,1,30/9/2020,10/1/2009,2010
38,441210,Recreational Vehicle Dealers,PIF,0,30/9/2020,10/1/2009,2010
39,445110,Supermarkets and Other Grocery (except Convenience) Stores,CHGOFF,1,30/9/2020,10/1/2009,2010
40,812990,All Other Personal Services,PIF,0,30/9/2020,10/1/2009,2010
41,323113,Commercial Screen Printing,PIF,1,30/9/2020,10/1/2009,2010
