LoanTransID,BankGrossApproval,SBAGuaranteedApproval,FirstDisbursementDate,InitialInterestRate,TermInMonths,PaidInFullDate,LoanBorrID,BankID,LoanDetailID,LoanProgID
1,250000,125000,10/1/2009,5.26,84,10/31/2016,LB1,1,1,LP1
2,233500,210150,10/1/2009,6,120,3/31/2019,LB2,2,2,LP2
3,350000,175000,1/1/2011,7.25,60,6/30/2017,LB3,3,3,LP3
4,50000,25000,5/1/2011,6,33,7/31/2015,LB4,4,4,LP4
5,150000,75000,11/9/2010,4,84,12/31/2017,LB5,5,5,LP5
6,400000,360000,12/1/2010,5.25,120,3/31/2019,LB6,6,6,LP6
7,400000,200000,2/1/2011,5,13,12/31/2011,LB7,7,7,LP7
8,10000,9000,11/9/2010,7.75,120,7/31/2013,LB8,8,8,LP8
9,100000,50000,12/1/2010,6.25,84,12/31/2011,LB9,9,9,LP9
10,720000,648000,12/1/2010,6,183,4/30/2018,LB10,10,10,LP10
11,1540000,1386000,11/9/2010,5.25,232,2/28/2017,LB11,11,11,LP11
12,175000,157500,1/1/2011,6,120,4/30/2016,LB12,12,12,LP12
13,12500,11250,11/9/2010,7.5,120,1/31/2016,LB13,13,13,LP13
14,154000,138600,12/1/2010,6,120,11/30/2012,LB14,14,14,LP14
15,324000,291600,5/1/2011,6,300,9/30/2014,LB15,15,15,LP15
16,675000,607500,2/1/2011,6,120,4/30/2016,LB16,16,16,LP16
17,510000,459000,12/9/2010,5,300,3/31/2018,LB17,17,17,LP17
18,35000,17500,1/1/2011,8.35,84,1/31/2016,LB18,18,18,LP18
19,5000,4500,11/9/2010,7.5,120,8/31/2017,LB19,19,19,LP19
20,35000,17500,11/9/2010,7.25,84,2/28/2013,LB20,20,20,LP20
21,30000,27000,3/1/2011,6,84,2/28/2015,LB21,21,21,LP21
22,1350000,1215000,12/1/2010,6,120,9/30/2015,LB22,22,22,LP22
23,10000,5000,1/1/2011,9.14,84,11/30/2017,LB23,23,23,LP23
24,1550000,1395000,2/1/2011,4.75,300,2/29/2020,LB24,24,24,LP24
25,25000,12500,1/1/2011,8.35,84,6/30/2017,LB25,25,25,LP25
26,155000,139500,1/1/2011,6,84,3/31/2014,LB26,26,26,LP26
27,350000,315000,1/1/2011,6,120,3/31/2014,LB27,27,27,LP27
28,630000,567000,12/1/2010,6,300,7/31/2014,LB28,28,28,LP28
29,151200,136080,11/9/2010,5.75,120,11/30/2012,LB29,29,29,LP29
30,75000,37500,12/1/2010,7.5,85,11/30/2017,LB30,30,30,LP30
31,20000,10000,11/9/2010,6.85,84,1/31/2018,LB31,31,31,LP31
32,150000,135000,12/1/2010,6,120,8/31/2012,LB32,32,32,LP32
33,279300,251370,2/1/2011,5.75,84,10/31/2015,LB33,33,33,LP33
34,24500,12250,12/1/2010,4.75,72,11/30/2016,LB34,34,34,LP34
35,225000,112500,11/9/2010,4.995,84,1/31/2014,LB35,35,35,LP35
36,7500,6750,11/9/2010,7.5,120,3/31/2020,LB36,36,36,LP36
37,25000,12500,2/1/2011,7.25,84,11/30/2016,LB37,37,37,LP37
38,3000000,2700000,9/1/2011,5,174,9/30/2017,LB38,38,38,LP38
39,15000,7500,2/1/2011,8.35,84,12/31/2011,LB39,39,39,LP39
40,45000,40500,11/9/2010,8.57,117,4/30/2017,LB40,40,40,LP40
41,25000,12500,12/1/2010,8.15,60,5/31/2011,LB41,41,41,LP41
42,8100,7290,12/1/2010,6.75,18,5/31/2012,LB42,42,42,LP42
43,800000,720000,1/1/2011,5.25,132,8/31/2014,LB43,43,43,LP43
44,200000,180000,12/1/2010,6,180,5/31/2013,LB44,44,44,LP44
45,20000,10000,11/9/2010,9,84,3/31/2012,LB45,45,45,LP45
46,50000,25000,5/1/2011,4.25,101,6/30/2019,LB46,46,46,LP46
47,50000,25000,1/1/2011,6,25,4/30/2013,LB47,47,47,LP47
48,180500,162450,11/9/2010,6,120,1/31/2016,LB48,48,48,LP48
49,711000,639900,10/1/2011,6,190,3/31/2017,LB49,49,49,LP49
50,271800,244620,11/9/2010,4.75,300,10/31/2012,LB50,50,50,LP50
51,30000,15000,11/9/2010,5.25,60,12/31/2015,LB51,51,51,LP51
52,1100000,990000,12/1/2010,6,120,10/31/2019,LB52,52,52,LP52
53,15000,7500,3/1/2011,9.25,81,11/30/2017,LB53,53,53,LP53
54,82000,73800,12/1/2010,6,84,7/31/2017,LB54,54,54,LP54
55,30000,15000,11/9/2010,6.75,84,10/31/2014,LB55,55,55,LP55
56,10000,5000,12/1/2010,9.75,84,1/31/2015,LB56,56,56,LP56
57,684000,615600,12/1/2010,6,84,11/30/2017,LB57,57,57,LP57
58,1425000,1282500,12/1/2010,6,300,7/31/2014,LB58,58,58,LP58
59,750000,675000,11/9/2010,5.5,300,12/31/2012,LB59,59,59,LP59
60,464000,417600,11/9/2010,5.53,120,12/31/2018,LB60,60,60,LP60
61,50000,45000,11/9/2010,7,84,12/31/2017,LB61,61,61,LP61
62,2157800,1942020,12/1/2010,6,231,8/31/2016,LB62,62,62,LP62
63,10000,5000,3/1/2011,6.75,84,9/30/2012,LB63,63,63,LP63
64,252000,226800,2/1/2011,5.24,126,8/31/2019,LB64,64,64,LP64
65,1100000,990000,11/9/2010,4,300,8/31/2020,LB65,65,65,LP65
66,150000,75000,5/1/2011,5.79,84,12/31/2012,LB66,66,66,LP66
67,135000,67500,11/9/2010,6.35,60,2/28/2013,LB67,67,67,LP67
68,477300,429570,11/9/2010,6,114,10/31/2013,LB68,68,68,LP68
69,1235000,1111500,12/1/2010,6,156,6/30/2015,LB69,69,69,LP69
70,337500,303750,1/1/2011,5.25,120,2/29/2020,LB70,70,70,LP70
71,297000,267300,11/9/2010,6,120,10/31/2016,LB71,71,71,LP71
72,133000,66500,11/9/2010,6,84,8/31/2012,LB72,72,72,LP72
73,525000,472500,12/1/2010,7.15,300,1/31/2019,LB73,73,73,LP73
74,24700,12350,11/9/2010,4.25,60,3/31/2014,LB74,74,74,LP74
75,348000,313200,12/1/2010,5.25,120,12/31/2013,LB75,75,75,LP75
76,10000,5000,10/1/2011,9.75,84,8/31/2017,LB76,76,76,LP76
77,570000,513000,10/1/2011,5.75,96,2/28/2014,LB77,77,77,LP77
78,300000,270000,12/1/2010,6,300,1/31/2018,LB78,78,78,LP78
79,1500000,1350000,12/1/2010,5.75,300,6/30/2016,LB79,79,79,LP79
80,250000,125000,11/9/2010,6.5,12,7/31/2011,LB80,80,80,LP80
81,100000,90000,1/1/2011,6,84,3/31/2016,LB81,81,81,LP81
82,11000,5500,12/1/2010,8.75,84,3/31/2014,LB82,82,82,LP82
83,25000,12500,11/9/2010,6.75,84,11/30/2013,LB83,83,83,LP83
84,679600,611640,11/9/2010,3.25,270,11/30/2018,LB84,84,84,LP84
85,50000,25000,11/9/2010,5.25,84,2/28/2018,LB85,85,85,LP85
86,100000,50000,11/9/2010,5.35,84,3/31/2014,LB86,86,86,LP86
87,57000,51300,11/9/2010,6,84,9/30/2014,LB87,87,87,LP87
88,20000,10000,11/9/2010,9.25,84,11/30/2015,LB88,88,88,LP88
89,250000,225000,11/9/2010,6,120,11/30/2018,LB89,89,89,LP89
90,750000,675000,12/1/2010,5.75,84,2/28/2014,LB90,90,90,LP90
91,75000,37500,3/1/2011,6,84,7/31/2016,LB91,91,91,LP91
92,100000,50000,3/1/2011,4.75,84,7/31/2016,LB92,92,92,LP92
93,408500,367650,12/1/2010,5.75,300,3/31/2018,LB93,93,93,LP93
94,75000,37500,2/1/2011,7,84,1/31/2014,LB94,94,94,LP94
95,86000,43000,2/1/2011,6.25,84,12/31/2016,LB95,95,95,LP95
96,50000,25000,11/1/2011,7.25,84,8/31/2016,LB96,96,96,LP96
97,295000,147500,12/1/2010,5.95,66,6/30/2016,LB97,97,97,LP97
98,250000,125000,3/1/2011,5.25,84,8/31/2014,LB98,98,98,LP98
99,185000,166500,2/1/2011,5.25,60,10/31/2014,LB99,99,99,LP99
100,30000,15000,1/1/2011,6,60,6/30/2017,LB100,100,100,LP100
101,400000,360000,5/1/2011,6,120,1/31/2016,LB101,101,101,LP101
102,212000,106000,11/9/2010,7.25,36,2/28/2014,LB102,102,102,LP102
103,25000,12500,7/1/2011,6.25,60,12/31/2015,LB103,103,103,LP103
104,525000,262500,12/1/2010,5,36,4/30/2014,LB104,104,104,LP104
105,6000,3000,11/9/2010,7.5,84,6/30/2013,LB105,105,105,LP105
106,115200,103680,11/9/2010,6.25,84,12/31/2014,LB106,106,106,LP106
107,525000,472500,11/9/2010,5.25,120,4/30/2019,LB107,107,107,LP107
108,90000,81000,12/1/2010,5.75,120,12/31/2013,LB108,108,108,LP108
109,15200,7600,12/1/2010,5.25,60,11/30/2013,LB109,109,109,LP109
110,100000,90000,12/1/2010,6,98,2/28/2019,LB110,110,110,LP110
111,300000,150000,2/1/2011,3.75,84,1/31/2018,LB111,111,111,LP111
112,873000,785700,11/9/2010,4.501,246,10/31/2017,LB112,112,112,LP112
113,16400,8200,11/9/2010,4.75,60,11/30/2015,LB113,113,113,LP113
114,500000,450000,12/1/2010,6,120,10/31/2013,LB114,114,114,LP114
115,244000,122000,11/9/2010,4.09,240,9/30/2013,LB115,115,115,LP115
116,1300000,1170000,2/1/2011,5.25,300,7/31/2018,LB116,116,116,LP116
117,20000,10000,12/1/2010,9.5,84,11/30/2017,LB117,117,117,LP117
