SBABranchID	SBADistrictOffice	CongressionalDistrict
1	COLORADO DISTRICT OFFICE 	01
2	SACRAMENTO DISTRICT OFFICE 	06
3	SACRAMENTO DISTRICT OFFICE 	03
4	CONNECTICUT DISTRICT OFFICE 	05
5	INDIANA DISTRICT OFFICE 	03
6	TENNESSEE DISTRICT OFFICE 	07
7	SOUTH CAROLINA DISTRICT OFFICE 	02
8	MINNESOTA DISTRICT OFFICE 	07
9	SOUTH FLORIDA DISTRICT OFFICE 	22
10	SAN FRANCISCO DISTRICT OFFICE 	12
11	ILLINOIS DISTRICT OFFICE 	02
12	SEATTLE DISTRICT OFFICE 	02
13	SOUTH FLORIDA DISTRICT OFFICE 	18
14	LOS ANGELES DISTRICT OFFICE 	34
15	LOS ANGELES DISTRICT OFFICE 	35
16	WISCONSIN DISTRICT OFFICE 	07
17	GEORGIA DISTRICT OFFICE 	07
18	PUERTO RICO AND USVI DISTRICT OFFICE 	00
19	ARKANSAS DISTRICT OFFICE 	01
20	HOUSTON DISTRICT OFFICE 	10
21	MASSACHUSETTS DISTRICT OFFICE 	06
22	NEW YORK DISTRICT OFFICE 	13
23	SAN DIEGO DISTRICT OFFICE 	51
24	RICHMOND DISTRICT OFFICE 	11
25	ILLINOIS DISTRICT OFFICE 	13
26	WISCONSIN DISTRICT OFFICE 	06
27	ILLINOIS DISTRICT OFFICE 	15
28	SANTA ANA DISTRICT OFFICE 	31
29	ST. LOUIS DISTRICT OFFICE 	03
30	MELVILLE BRANCH OFFICE 	01
31	ROCHESTER BRANCH OFFICE 	25
32	ARIZONA DISTRICT OFFICE 	08
33	SAN ANTONIO DISTRICT OFFICE 	25
34	DALLAS / FT WORTH DISTRICT OFFICE 	32
35	CLEVELAND DISTRICT OFFICE 	14
36	UTAH DISTRICT OFFICE 	01
37	VERMONT DISTRICT OFFICE 	00
38	MINNESOTA DISTRICT OFFICE 	05
39	ST. LOUIS DISTRICT OFFICE 	08
40	ALABAMA DISTRICT OFFICE 	02
41	MINNESOTA DISTRICT OFFICE 	06
42	SAN DIEGO DISTRICT OFFICE 	53
43	PHILADELPHIA DISTRICT OFFICE 	04
44	WEST VIRGINIA DISTRICT OFFICE 	01
45	SPRINGFIELD BRANCH OFFICE 	07
46	DALLAS / FT WORTH DISTRICT OFFICE 	03
47	COLUMBUS DISTRICT OFFICE 	02
48	MICHIGAN DISTRICT OFFICE 	10
49	SOUTH FLORIDA DISTRICT OFFICE 	19
50	MINNESOTA DISTRICT OFFICE 	04
51	PHILADELPHIA DISTRICT OFFICE 	06
52	CLEVELAND DISTRICT OFFICE 	16
53	SPOKANE BRANCH OFFICE 	01
54	UTAH DISTRICT OFFICE 	02
55	MAINE DISTRICT OFFICE 	02
56	COLORADO DISTRICT OFFICE 	02
57	FRESNO DISTRICT OFFICE 	24
58	GEORGIA DISTRICT OFFICE 	05
59	MICHIGAN DISTRICT OFFICE 	11
60	BALTIMORE DISTRICT OFFICE 	03
61	SOUTH CAROLINA DISTRICT OFFICE 	04
62	ILLINOIS DISTRICT OFFICE 	08
63	HOUSTON DISTRICT OFFICE 	36
64	KENTUCKY DISTRICT OFFICE 	06
65	GEORGIA DISTRICT OFFICE 	02
66	MINNESOTA DISTRICT OFFICE 	08
67	NORTH CAROLINA DISTRICT OFFICE 	02
68	SAN FRANCISCO DISTRICT OFFICE 	18
69	FRESNO DISTRICT OFFICE 	16
70	HOUSTON DISTRICT OFFICE 	07
71	PHILADELPHIA DISTRICT OFFICE 	11
72	ALABAMA DISTRICT OFFICE 	05
73	SANTA ANA DISTRICT OFFICE 	36
74	DALLAS / FT WORTH DISTRICT OFFICE 	31
75	NEW JERSEY DISTRICT OFFICE 	05
76	SOUTH FLORIDA DISTRICT OFFICE 	27
77	SANTA ANA DISTRICT OFFICE 	45
78	NEW YORK DISTRICT OFFICE 	10
79	CLEVELAND DISTRICT OFFICE 	05
80	ARIZONA DISTRICT OFFICE 	07
81	NORTH CAROLINA DISTRICT OFFICE 	12
82	BOISE DISTRICT OFFICE 	02
83	SEATTLE DISTRICT OFFICE 	06
84	MAINE DISTRICT OFFICE 	01
85	MINNESOTA DISTRICT OFFICE 	01
86	LOS ANGELES DISTRICT OFFICE 	29
87	OKLAHOMA DISTRICT OFFICE 	01
88	NORTH FLORIDA DISTRICT OFFICE 	01
89	WISCONSIN DISTRICT OFFICE 	01
90	MASSACHUSETTS DISTRICT OFFICE 	09
